,Year,Country_Code,Country_Name,Population_Density,People_Near_Rapid_Transit,Transit_Legend
384,2009,AUT,Austria,12364.06955830364,0.5999948102940136,0.5999948102940136
385,2010,AUT,Austria,12428.6906960892,0.606718807707912,0.606718807707912
386,2011,AUT,Austria,12530.54242601216,0.5945313037174128,0.5945313037174128
387,2012,AUT,Austria,12632.39415593512,0.5823437997269136,0.5823437997269136
388,2013,AUT,Austria,12734.24588585808,0.5701562957364144,0.5701562957364144
389,2014,AUT,Austria,12836.09761578104,0.5579687917459152,0.5579687917459152
390,2015,AUT,Austria,12937.949345704,0.545781287755416,0.545781287755416
391,2016,AUT,Austria,13124.46846444642,0.5487807872723816,0.5487807872723816
392,2017,AUT,Austria,13310.98758318884,0.5517802867893472,0.5517802867893472
393,2018,AUT,Austria,13497.50670193126,0.5547797863063127,0.5547797863063127
